clanId;gold
7;54668
4;-613
15;-4689
4;84492
15;-55461
9;68027
22;38404
20;-54626
17;-66185
21;54049
1;21242
2;-58829
9;29214
11;-38760
15;-55088
3;-38215
23;-35826
17;73124
17;13085
20;73561
8;70900
13;-83891
6;64329
16;-24841
7;-12388
14;32130
15;-31623
2;-82551
25;25212
20;-79682
15;-6532
13;-26450
16;80858
13;23997
4;-44711
23;-88446
23;21244
11;-76653
17;-52836
16;-95255
24;-67167
20;40220
10;71207
4;66046
18;66461
6;-96885
10;85382
25;-84586
9;87319
18;77779
15;-58368
20;-95371
4;-8121
4;-36015
20;-80462
7;-36777
9;-36203
5;77482
19;44421
5;-8283
10;-7349
10;92036
2;-84582
5;33074
2;45885
8;59552
19;47800
25;5470
19;-66487
5;21272
15;72093
4;65684
13;-61194
2;6266
3;58099
10;24230
19;15531
12;40139
14;-92811
17;42566
4;74655
9;63986
14;74470
18;-55480
6;54088
17;-73359
15;62229
21;98425
25;-48018
15;-68140
16;-10525
16;80109
14;71266
2;85366
13;-18610
1;-67534
21;-10191
16;83043
19;68264
23;-57349
25;4555
15;9215
11;-76142
22;4801
22;-43907
25;54430
5;51768
5;63429
11;-13446
20;-98509
17;91232
23;-1260
4;53691
17;-62801
19;-76872
23;79321
16;-99387
3;-48971
24;-37076
16;-14712
4;-71642
2;-35426
15;-37371
16;31733
24;16026
22;89156
7;-87171
3;-93732
11;13819
15;-64203
20;31367
17;-60237
8;57760
20;-52582
21;-91328
10;57687
15;-96107
15;26214
6;47013
4;70635
1;-74780
11;21697
22;71425
24;8026
5;31040
20;-279
17;98875
15;59554
8;-70249
19;-83225
2;57121
9;35782
19;48906
10;90288
3;-25570
10;82955
8;43193
10;-72527
4;9600
5;-42845
6;76087
20;-39420
21;49790
12;84410
4;52101
19;42455
8;-61942
3;-40330
18;-86947
12;37201
6;-84589
19;50662
1;-27325
12;-64345
25;-19864
2;-63960
20;3914
11;76695
3;14400
5;39435
7;61412
14;5436
6;-37051
11;84039
16;-99163
24;59750
16;1957
13;-35783
5;-8471
22;-34575
5;-5477
16;-69845
6;38927
7;38888
17;-97830
6;-97212
25;62743
7;-20577
3;-38367
9;-45535
19;-69690
20;96440
1;47920
20;54651
9;-36667
2;-64363
9;79986
23;-21162
9;65485
6;74831
14;18546
8;28324
13;-84288
3;88451
11;-97406
10;-98022
25;26069
13;18749
4;-69905
8;-27692
12;-45972
3;3201
6;53692
1;90018
10;82332
3;76504
20;4632
10;30145
22;45548
20;17526
23;-69984
19;53466
14;-27674
21;-24947
3;-14414
15;31853
9;-95566
12;-17012
11;26125
13;-82170
9;-21085
17;-36030
8;-78269
7;63057
16;-54653
2;-28908
22;-54841
8;-39984
25;-60005
14;86722
1;-75927
17;60348
8;97288
23;-8538
13;43491
5;49938
12;-47366
9;-16381
12;51871
25;37158
10;-31139
16;64386
10;82791
19;89369
13;-31842
5;64853
1;-42180
3;-57194
2;10042
2;-57110
7;51117
25;70169
21;75348
14;-6794
16;50306
3;46749
19;64644
